date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:12:37	9176/9176	---M--	200	added ('OK')	text/html	etag:%22de6b8a-23d8-4604d6578b380%22	http://www.xtec.cat/~jgenover/morfo.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/morfo.html	(from )
23:12:38	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jan%202022%2022:12:38%20GMT	http://www.xtec.cat/robots.txt		(from )
23:12:38	15336/15336	---M--	200	added ('OK')	text/html	etag:%22de6aba-3be8-3dae2bf796500%22	http://www.xtec.cat/~jgenover/catgram1.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/catgram1.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:38	15425/15425	---M--	200	added ('OK')	text/html	etag:%22de6abf-3c41-3dae2c002b940%22	http://www.xtec.cat/~jgenover/catgram6.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/catgram6.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:39	15674/15674	---M--	200	added ('OK')	text/html	etag:%22de6ab7-3d3a-3dae2bf1dd780%22	http://www.xtec.cat/~jgenover/catgra10.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/catgra10.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:40	35667/35667	---M--	200	added ('OK')	text/html	etag:%22de6b51-8b53-3dae2c3593740%22	http://www.xtec.cat/~jgenover/gracat1.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/gracat1.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:41	25958/25958	---M--	200	added ('OK')	text/html	etag:%22de6b49-6566-458a461d3e480%22	http://www.xtec.cat/~jgenover/genero1.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/genero1.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:41	21822/21822	---M--	200	added ('OK')	text/html	etag:%22de6b4b-553e-3dae2c32b7080%22	http://www.xtec.cat/~jgenover/genero3.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/genero3.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:42	27697/27697	---M--	200	added ('OK')	text/html	etag:%22de6b9b-6c31-3de935fdcda00%22	http://www.xtec.cat/~jgenover/numero1.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/numero1.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:43	20831/20831	---M--	200	added ('OK')	text/html	etag:%22de6b9c-515f-3de935ffb5e80%22	http://www.xtec.cat/~jgenover/numero2.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/numero2.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:44	19783/19783	---M--	200	added ('OK')	text/html	etag:%22de6a8a-4d47-3dae2bed18c40%22	http://www.xtec.cat/~jgenover/adjepos1.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/adjepos1.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:45	30092/30092	---M--	200	added ('OK')	text/html	etag:%22de6b54-758c-3de935a51c8c0%22	http://www.xtec.cat/~jgenover/grado1.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/grado1.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:46	18018/18018	---M--	200	added ('OK')	text/html	etag:%22de6c41-4662-45bfc1a8a4c80%22	http://www.xtec.cat/~jgenover/usodet0.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/usodet0.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
23:12:47	33954/33954	---M--	200	added ('OK')	text/html	etag:%22de6ada-84a2-3dae2c0c91680%22	http://www.xtec.cat/~jgenover/clasdet1.htm	C:/Users/Alejandro/iesamachado.github.io/jgenover-morfo/www.xtec.cat/_jgenover/clasdet1.html	(from http://www.xtec.cat/~jgenover/morfo.htm)
